Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11932822,2020-06-11 09:51:36,2020-06-05 11:08:54,49168683,2503750667,0,50,934,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932822/SRR11932822.lite.1,SRX8478484,L28,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778426,SAMN15144768,simple,4577,Zea mays,647_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,7EA76A256B3044649116AD027C0858C7,CCEB90EAC8D8CD606674E18ADDEAD249
SRR11932811,2020-06-11 09:51:36,2020-06-05 11:05:20,56732804,2888728326,0,50,1015,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932811/SRR11932811.lite.1,SRX8478495,L29,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778438,SAMN15144769,simple,4577,Zea mays,647_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,BD0DA75967DFA5216358730BF1512740,85E8F0F7F45D85CA9FCD16D74236337E
SRR11933230,2020-06-11 09:51:37,2020-06-05 11:19:02,33680230,1715150601,0,50,592,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933230/SRR11933230.lite.1,SRX8478506,L30,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778449,SAMN15144770,simple,4577,Zea mays,647_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,B7CCEFC1511FC48F44F04E4DA95D1B67,E7B306DED85CE1E1F584FA2F36AF90C2
SRR11933218,2020-06-11 09:51:37,2020-06-05 11:22:48,50087121,2550040086,0,50,914,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933218/SRR11933218.lite.1,SRX8478518,L31,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778461,SAMN15144771,simple,4577,Zea mays,7381_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,B48CEBDE0DA8199084C1219411514C59,0E997924185A753EC8FA0B37519CFCD2
SRR11933207,2020-06-11 09:51:37,2020-06-05 11:17:47,37869900,1656472326,0,43,1002,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933207/SRR11933207.lite.1,SRX8478529,L32,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778472,SAMN15144772,simple,4577,Zea mays,7381_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,0B1E1CDE4F9AF81C50810A79D591213A,8F5DA68FE48E0A87D09DCF9D692B249A
SRR11933196,2020-06-11 09:51:37,2020-06-05 11:27:21,48391988,2461779224,0,50,868,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933196/SRR11933196.lite.1,SRX8478540,L33,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778483,SAMN15144773,simple,4577,Zea mays,7884-4HT_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,1AEBF42F5AE00720EEAD1704B6529A35,CB7A2B4393DB91A6ED63234FF1898081
SRR11933185,2020-06-11 09:51:37,2020-06-05 11:18:22,44562389,2269763593,0,50,789,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933185/SRR11933185.lite.1,SRX8478551,L34,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778494,SAMN15144774,simple,4577,Zea mays,7884-4HT_WS1_REP,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,F2728D747F70079AC60AFA68A84CEBA6,83E0C6996898DC2FB220923FBE4373FC
SRR11933174,2020-06-11 09:51:37,2020-06-05 11:18:38,41428166,2066187570,0,49,1123,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933174/SRR11933174.lite.1,SRX8478562,L35,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778505,SAMN15144775,simple,4577,Zea mays,7884-4HT_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,037BD8CC9CBC0F659B2BB6E8E632FBCB,A98682E1AA4143CC95C132A1D06377A0
SRR11933163,2020-06-11 09:51:37,2020-06-05 11:16:03,26776252,1178666168,0,44,739,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933163/SRR11933163.lite.1,SRX8478573,L36,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778516,SAMN15144776,simple,4577,Zea mays,7884-4HT_WS2_REP,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,7DF426937933DA3D53B5DEBF43191BBE,76D61CE26178811B34675864847D5424
SRR11933152,2020-06-11 09:51:37,2020-06-05 11:18:24,37052713,1884343027,0,50,692,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933152/SRR11933152.lite.1,SRX8478584,L37,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778527,SAMN15144777,simple,4577,Zea mays,7884-4HT_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,9F8E655DB1A06746C15105F895E3BE4A,BB2D5DB87DFB07F095498F1278B50202
